message_id,message_text,label,scam_type,risk_score,risk_level,language,signals,contains_payment_request,contains_urgency,contains_impersonation,contains_credential_request,contains_url,contains_upi,contains_phone,recommended_action
F0047,"Congratulations, your resume is shortlisted. Pay refundable training deposit ₹5000 to confirm your seat.",fraud,Job / Recruitment Scam,72,medium,English,job_offer|too_good_to_be_true|payment_request|document_request|unknown_recruiter,1,0,0,1,0,0,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
N0207,Team meeting moved to 4 PM. Join from the regular calendar link.,safe,Safe / Normal Message,5,low,English,normal_message,0,0,0,0,0,0,0,No scam indicators detected. Still verify sender if message asks for sensitive action.
S0162,"Hello, I saw your profile online and have a remote job opportunity. Are you interested?",suspicious,Unknown Suspicious Message,42,medium,English,unknown_sender|needs_verification|low_context,0,0,0,0,0,0,0,"Verify sender identity through official website/domain before sharing money, OTP, documents, or bank details."
N0203,Your interview is scheduled for tomorrow at 10 AM. Please check your email for details.,safe,Safe / Normal Message,14,low,English,normal_message,0,0,0,0,0,0,0,No scam indicators detected. Still verify sender if message asks for sensitive action.
F0007,"You are being investigated by Mumbai Police. For legal clearance, visit rbi-verify-payment.com and complete payment of ₹25000.",fraud,Digital Arrest Scam,91,high,English,law_enforcement_impersonation|digital_arrest|threat|payment_request|urgency,1,1,1,0,1,0,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
F0039,Remote data entry job available. Limited slots. Pay ID card charge ₹7500 today.,fraud,Job / Recruitment Scam,50,medium,English,job_offer|too_good_to_be_true|payment_request|document_request|unknown_recruiter,1,0,0,1,0,0,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
F0140,Your gas connection will be suspended. Pay reconnection fee ₹25000 to supportdesk@upi.,fraud,Electricity / Utility Scam,70,medium,English,utility_impersonation|service_disconnection|payment_request|phishing_link|urgency,1,1,1,0,0,1,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
F0069,Your personal loan is sanctioned. Send insurance charge ₹1500 before disbursal.,fraud,Loan Scam,72,medium,English,loan_offer|processing_fee|document_request|payment_request|too_good_to_be_true,1,0,0,1,0,0,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
F0123,Final warning: send ₹1500 or your family will receive the video.,fraud,Sextortion / Blackmail Scam,95,high,English,blackmail|threat|payment_request|urgency|fear_pressure,1,1,0,0,0,0,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
S0147,"Hello, I saw your profile online and have a remote job opportunity. Are you interested?",suspicious,Unknown Suspicious Message,44,medium,English,unknown_sender|needs_verification|low_context,0,0,0,0,0,0,0,"Verify sender identity through official website/domain before sharing money, OTP, documents, or bank details."
H0268,Refund lene ke liye UPI PIN enter karo. Request accept karo warna paisa hold rahega.,fraud,UPI Payment Fraud,82,high,Hinglish,upi|refund_lure|qr_or_pin|urgency,0,1,0,1,0,0,0,Verify sender through official source. Do not pay fees or share OTP/PIN/documents.
N0258,Your bank statement for this month is available in the official app.,safe,Safe / Normal Message,8,low,English,normal_message,0,0,0,0,0,0,0,No scam indicators detected. Still verify sender if message asks for sensitive action.
F0015,Your wallet KYC is pending. Complete verification using OTP and PAN details at loanfast-approval.in. Last warning.,fraud,Fake KYC Scam,77,high,English,kyc|credential_request|phishing_link|account_freeze|urgency,0,1,0,1,1,0,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
F0127,Your camera was hacked. Transfer money within 2 hours to avoid public leak.,fraud,Sextortion / Blackmail Scam,90,high,English,blackmail|threat|payment_request|urgency|fear_pressure,1,1,0,0,0,0,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
S0148,We have an investment webinar today. Join only if you registered earlier.,suspicious,Unknown Suspicious Message,50,medium,English,unknown_sender|needs_verification|low_context,0,0,0,0,0,0,0,"Verify sender identity through official website/domain before sharing money, OTP, documents, or bank details."
F0097,"Congratulations! You won ₹5,00,000 in lucky draw. Pay tax ₹2500 to tradingprofit@upi to claim.",fraud,Lottery / Reward Scam,86,high,English,lottery_reward|payment_request|too_good_to_be_true|document_request|urgency,1,1,0,1,0,1,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
N0226,Your cab has arrived at the pickup location.,safe,Safe / Normal Message,15,low,English,normal_message,0,0,0,0,0,0,0,No scam indicators detected. Still verify sender if message asks for sensitive action.
F0059,Invest ₹2500 today and get guaranteed 3x return in 7 days. Join our trading group at bank-secure-login.in.,fraud,Investment Scam,88,high,English,guaranteed_returns|investment|too_good_to_be_true|payment_request|urgency,1,1,0,0,1,0,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
F0121,We have your private video. Pay ₹25000 to loanfee@upi or we will send it to your contacts.,fraud,Sextortion / Blackmail Scam,100,high,English,blackmail|threat|payment_request|urgency|fear_pressure,1,1,0,0,0,1,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
N0228,Welcome to the webinar. The joining link has been sent to your registered email.,safe,Safe / Normal Message,7,low,English,normal_message,0,0,0,0,0,0,0,No scam indicators detected. Still verify sender if message asks for sensitive action.
F0095,Last warning: account closure request active. Login at kyc-update-now.in to cancel.,fraud,Bank Account Freeze Scam,76,high,English,bank_impersonation|account_freeze|credential_request|phishing_link|urgency,0,1,1,1,1,0,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
F0136,Electricity bill pending. Power will be disconnected tonight. Pay at kyc-update-now.in.,fraud,Electricity / Utility Scam,87,high,English,utility_impersonation|service_disconnection|payment_request|phishing_link|urgency,1,1,1,0,1,0,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
F0093,Last warning: account closure request active. Login at loanfast-approval.in to cancel.,fraud,Bank Account Freeze Scam,77,high,English,bank_impersonation|account_freeze|credential_request|phishing_link|urgency,0,1,1,1,1,0,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
F0010,This is ED cyber cell. You are under digital arrest for foreign transaction fraud. Stay on video call and pay verification penalty of ₹1500 to tradingprofit@upi immediately.,fraud,Digital Arrest Scam,94,high,English,law_enforcement_impersonation|digital_arrest|threat|payment_request|urgency,1,1,1,0,0,1,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
S0153,"Hello, I saw your profile online and have a remote job opportunity. Are you interested?",suspicious,Unknown Suspicious Message,33,medium,English,unknown_sender|needs_verification|low_context,0,0,0,0,0,0,0,"Verify sender identity through official website/domain before sharing money, OTP, documents, or bank details."
F0037,"We have urgent hiring for part-time online job. High salary, no experience. Message YES to continue.",fraud,Job / Recruitment Scam,53,medium,English,job_offer|too_good_to_be_true|payment_request|document_request|unknown_recruiter,1,0,0,1,0,0,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
F0076,Illegal parcel case registered. Contact investigation officer +91 9876543210 now.,fraud,Courier / Parcel Scam,73,medium,English,courier|customs_impersonation|threat|payment_request|urgency,1,1,1,0,0,0,1,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
N0232,Your cab has arrived at the pickup location.,safe,Safe / Normal Message,5,low,English,normal_message,0,0,0,0,0,0,0,No scam indicators detected. Still verify sender if message asks for sensitive action.
F0113,"Card verification failed. Provide CVV, expiry date and OTP at secure-kyc-bankverify.com.",fraud,OTP / Credential Theft,89,high,English,otp_request|credential_theft|bank_impersonation|urgency|account_freeze,0,1,1,1,1,0,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
F0002,This is ED cyber cell. You are under digital arrest for illegal parcel case. Stay on video call and pay verification penalty of ₹25000 to cybercase@upi immediately.,fraud,Digital Arrest Scam,94,high,English,law_enforcement_impersonation|digital_arrest|threat|payment_request|urgency,1,1,1,0,0,1,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
S0157,"Hello, I saw your profile online and have a remote job opportunity. Are you interested?",suspicious,Unknown Suspicious Message,52,medium,English,unknown_sender|needs_verification|low_context,0,0,0,0,0,0,0,"Verify sender identity through official website/domain before sharing money, OTP, documents, or bank details."
N0256,Please submit the assignment before Friday.,safe,Safe / Normal Message,14,low,English,normal_message,0,0,0,0,0,0,0,No scam indicators detected. Still verify sender if message asks for sensitive action.
F0090,Your savings account will be frozen due to suspicious activity. Verify now at jobverify-hr.in.,fraud,Bank Account Freeze Scam,86,high,English,bank_impersonation|account_freeze|credential_request|phishing_link|urgency,0,1,1,1,1,0,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
N0257,Your payment of ₹5000 was successful. No action required.,safe,Safe / Normal Message,15,low,English,normal_message,0,0,0,0,0,0,0,No scam indicators detected. Still verify sender if message asks for sensitive action.
N0221,Your payment of ₹25000 was successful. No action required.,safe,Safe / Normal Message,15,low,English,normal_message,0,0,0,0,0,0,0,No scam indicators detected. Still verify sender if message asks for sensitive action.
F0072,Urgent loan offer. Verification fee refundable. Transfer to hrverify@upi.,fraud,Loan Scam,70,medium,English,loan_offer|processing_fee|document_request|payment_request|too_good_to_be_true,1,0,0,1,0,1,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
N0263,Team meeting moved to 4 PM. Join from the regular calendar link.,safe,Safe / Normal Message,7,low,English,normal_message,0,0,0,0,0,0,0,No scam indicators detected. Still verify sender if message asks for sensitive action.
H0266,Aapka KYC expire ho gaya hai. Account block hone se bachane ke liye secure-kyc-bankverify.com par update karo.,fraud,Fake KYC Scam,85,high,Hinglish,kyc|phishing_link|account_freeze|urgency,0,1,0,1,1,0,0,Verify sender through official source. Do not pay fees or share OTP/PIN/documents.
F0129,Your camera was hacked. Transfer money within 2 hours to avoid public leak.,fraud,Sextortion / Blackmail Scam,98,high,English,blackmail|threat|payment_request|urgency|fear_pressure,1,1,0,0,0,0,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
F0108,Amazon prize pending. Claim now at bank-secure-login.in. Processing fee required.,fraud,Lottery / Reward Scam,71,medium,English,lottery_reward|payment_request|too_good_to_be_true|document_request|urgency,1,1,0,1,1,0,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
N0251,Your interview is scheduled for tomorrow at 10 AM. Please check your email for details.,safe,Safe / Normal Message,9,low,English,normal_message,0,0,0,0,0,0,0,No scam indicators detected. Still verify sender if message asks for sensitive action.
S0169,Recruitment update: please confirm your availability for the interview.,suspicious,Unknown Suspicious Message,40,medium,English,unknown_sender|needs_verification|low_context,0,0,0,0,0,0,0,"Verify sender identity through official website/domain before sharing money, OTP, documents, or bank details."
N0262,Your payment of ₹25000 was successful. No action required.,safe,Safe / Normal Message,9,low,English,normal_message,0,0,0,0,0,0,0,No scam indicators detected. Still verify sender if message asks for sensitive action.
F0074,Your parcel contains illegal items and is held by customs. Call +91 7012345678 immediately to avoid police case.,fraud,Courier / Parcel Scam,94,high,English,courier|customs_impersonation|threat|payment_request|urgency,1,1,1,0,0,0,1,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
F0086,Bank security alert: debit card blocked. Share OTP with officer +91 8765432190 to reactivate.,fraud,Bank Account Freeze Scam,89,high,English,bank_impersonation|account_freeze|credential_request|phishing_link|urgency,0,1,1,1,0,0,1,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
N0246,Your interview is scheduled for tomorrow at 10 AM. Please check your email for details.,safe,Safe / Normal Message,7,low,English,normal_message,0,0,0,0,0,0,0,No scam indicators detected. Still verify sender if message asks for sensitive action.
F0099,Amazon prize pending. Claim now at jobverify-hr.in. Processing fee required.,fraud,Lottery / Reward Scam,61,medium,English,lottery_reward|payment_request|too_good_to_be_true|document_request|urgency,1,1,0,1,1,0,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
F0142,Utility KYC incomplete. Update details at kyc-update-now.in or service will stop.,fraud,Electricity / Utility Scam,70,medium,English,utility_impersonation|service_disconnection|payment_request|phishing_link|urgency,1,1,1,0,1,0,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
N0245,"Hi Om, please call me when you are free.",safe,Safe / Normal Message,8,low,English,normal_message,0,0,0,0,0,0,0,No scam indicators detected. Still verify sender if message asks for sensitive action.
F0100,Your mobile number selected for reward. Send Aadhaar and bank details for prize transfer.,fraud,Lottery / Reward Scam,76,high,English,lottery_reward|payment_request|too_good_to_be_true|document_request|urgency,1,1,0,1,0,0,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
N0199,Your cab has arrived at the pickup location.,safe,Safe / Normal Message,15,low,English,normal_message,0,0,0,0,0,0,0,No scam indicators detected. Still verify sender if message asks for sensitive action.
F0021,Your mobile banking access will be disabled. Update KYC now: claim-reward-now.com,fraud,Fake KYC Scam,88,high,English,kyc|credential_request|phishing_link|account_freeze|urgency,0,1,0,1,1,0,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
F0030,Your pending payout will expire. Pay processing fee ₹999 to hrverify@upi now.,fraud,UPI Payment Fraud,74,medium,English,upi|payment_request|qr_or_pin|refund_lure|urgency,1,1,0,0,0,1,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
F0094,"Net banking disabled. Complete account verification using Aadhaar, PAN and OTP.",fraud,Bank Account Freeze Scam,82,high,English,bank_impersonation|account_freeze|credential_request|phishing_link|urgency,0,1,1,1,0,0,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
N0223,Can you share the project update by evening?,safe,Safe / Normal Message,11,low,English,normal_message,0,0,0,0,0,0,0,No scam indicators detected. Still verify sender if message asks for sensitive action.
N0229,Please submit the assignment before Friday.,safe,Safe / Normal Message,0,low,English,normal_message,0,0,0,0,0,0,0,No scam indicators detected. Still verify sender if message asks for sensitive action.
F0109,Your OTP is required to stop unauthorized transaction. Share it with bank officer +91 9988776655.,fraud,OTP / Credential Theft,95,high,English,otp_request|credential_theft|bank_impersonation|urgency|account_freeze,0,1,1,1,0,0,1,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
F0107,Government reward approved. Verification payment required to release funds.,fraud,Lottery / Reward Scam,84,high,English,lottery_reward|payment_request|too_good_to_be_true|document_request|urgency,1,1,0,1,0,0,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
F0135,Utility KYC incomplete. Update details at utility-bill-pay.in or service will stop.,fraud,Electricity / Utility Scam,73,medium,English,utility_impersonation|service_disconnection|payment_request|phishing_link|urgency,1,1,1,0,1,0,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
F0029,Payment failed but amount is on hold. Scan QR and enter UPI PIN to receive refund of ₹5000.,fraud,UPI Payment Fraud,92,high,English,upi|payment_request|qr_or_pin|refund_lure|urgency,1,1,0,0,0,0,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
S0173,We have an investment webinar today. Join only if you registered earlier.,suspicious,Unknown Suspicious Message,28,medium,English,unknown_sender|needs_verification|low_context,0,0,0,0,0,0,0,"Verify sender identity through official website/domain before sharing money, OTP, documents, or bank details."
N0190,Can you share the project update by evening?,safe,Safe / Normal Message,3,low,English,normal_message,0,0,0,0,0,0,0,No scam indicators detected. Still verify sender if message asks for sensitive action.
S0159,We have an investment webinar today. Join only if you registered earlier.,suspicious,Unknown Suspicious Message,54,medium,English,unknown_sender|needs_verification|low_context,0,0,0,0,0,0,0,"Verify sender identity through official website/domain before sharing money, OTP, documents, or bank details."
F0126,Final warning: send ₹500 or your family will receive the video.,fraud,Sextortion / Blackmail Scam,89,high,English,blackmail|threat|payment_request|urgency|fear_pressure,1,1,0,0,0,0,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
N0212,Welcome to the webinar. The joining link has been sent to your registered email.,safe,Safe / Normal Message,9,low,English,normal_message,0,0,0,0,0,0,0,No scam indicators detected. Still verify sender if message asks for sensitive action.
N0250,Your cab has arrived at the pickup location.,safe,Safe / Normal Message,4,low,English,normal_message,0,0,0,0,0,0,0,No scam indicators detected. Still verify sender if message asks for sensitive action.
F0042,"Hello, I found your profile on LinkedIn. Remote customer support role with salary ₹60,000 per month. Pay registration fee ₹2500 to refundhelp@upi for joining letter.",fraud,Job / Recruitment Scam,74,medium,English,job_offer|too_good_to_be_true|payment_request|document_request|unknown_recruiter,1,0,0,1,0,1,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
F0065,"Instant loan of ₹5,00,000 approved without CIBIL check. Pay processing fee ₹2500 to powerbill@upi.",fraud,Loan Scam,78,high,English,loan_offer|processing_fee|document_request|payment_request|too_good_to_be_true,1,0,0,1,0,1,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
N0259,Can you share the project update by evening?,safe,Safe / Normal Message,5,low,English,normal_message,0,0,0,0,0,0,0,No scam indicators detected. Still verify sender if message asks for sensitive action.
N0241,"Hi Om, please call me when you are free.",safe,Safe / Normal Message,4,low,English,normal_message,0,0,0,0,0,0,0,No scam indicators detected. Still verify sender if message asks for sensitive action.
F0063,Your personal loan is sanctioned. Send insurance charge ₹999 before disbursal.,fraud,Loan Scam,68,medium,English,loan_offer|processing_fee|document_request|payment_request|too_good_to_be_true,1,0,0,1,0,0,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
N0220,Your parcel is out for delivery. Track it from the official app.,safe,Safe / Normal Message,6,low,English,normal_message,0,0,0,0,0,0,0,No scam indicators detected. Still verify sender if message asks for sensitive action.
F0131,Your camera was hacked. Transfer money within 1 hour to avoid public leak.,fraud,Sextortion / Blackmail Scam,86,high,English,blackmail|threat|payment_request|urgency|fear_pressure,1,1,0,0,0,0,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
F0046,"Congratulations, your resume is shortlisted. Pay refundable training deposit ₹15000 to confirm your seat.",fraud,Job / Recruitment Scam,69,medium,English,job_offer|too_good_to_be_true|payment_request|document_request|unknown_recruiter,1,0,0,1,0,0,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
S0178,Your parcel has a delivery issue. Please contact customer support through the official website.,suspicious,Unknown Suspicious Message,39,medium,English,unknown_sender|needs_verification|low_context,0,0,0,0,0,0,0,"Verify sender identity through official website/domain before sharing money, OTP, documents, or bank details."
F0049,VIP trading account activation pending. Pay ₹999 and get assured daily income.,fraud,Investment Scam,75,high,English,guaranteed_returns|investment|too_good_to_be_true|payment_request|urgency,1,1,0,0,0,0,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
F0003,This is ED cyber cell. You are under digital arrest for foreign transaction fraud. Stay on video call and pay verification penalty of ₹10000 to taxclaim@upi immediately.,fraud,Digital Arrest Scam,91,high,English,law_enforcement_impersonation|digital_arrest|threat|payment_request|urgency,1,1,1,0,0,1,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
N0216,Your parcel is out for delivery. Track it from the official app.,safe,Safe / Normal Message,4,low,English,normal_message,0,0,0,0,0,0,0,No scam indicators detected. Still verify sender if message asks for sensitive action.
N0202,Your cab has arrived at the pickup location.,safe,Safe / Normal Message,1,low,English,normal_message,0,0,0,0,0,0,0,No scam indicators detected. Still verify sender if message asks for sensitive action.
S0168,Your account requires verification. Please check the official app for details.,suspicious,Unknown Suspicious Message,35,medium,English,unknown_sender|needs_verification|low_context,0,0,0,0,0,0,0,"Verify sender identity through official website/domain before sharing money, OTP, documents, or bank details."
H0267,Sir work from home job confirm hai. Joining letter ke liye ₹1500 registration fee hrverify@upi par bhej do.,fraud,Job / Recruitment Scam,75,high,Hinglish,job_offer|payment_request|registration_fee,1,0,0,0,0,1,0,Verify sender through official source. Do not pay fees or share OTP/PIN/documents.
F0115,"Card verification failed. Provide CVV, expiry date and OTP at bank-secure-login.in.",fraud,OTP / Credential Theft,99,high,English,otp_request|credential_theft|bank_impersonation|urgency|account_freeze,0,1,1,1,1,0,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
F0026,Payment failed but amount is on hold. Scan QR and enter UPI PIN to receive refund of ₹2500.,fraud,UPI Payment Fraud,75,high,English,upi|payment_request|qr_or_pin|refund_lure|urgency,1,1,0,0,0,0,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
N0197,Please submit the assignment before Friday.,safe,Safe / Normal Message,0,low,English,normal_message,0,0,0,0,0,0,0,No scam indicators detected. Still verify sender if message asks for sensitive action.
F0018,Your mobile banking access will be disabled. Update KYC now: jobverify-hr.in,fraud,Fake KYC Scam,95,high,English,kyc|credential_request|phishing_link|account_freeze|urgency,0,1,0,1,1,0,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
F0050,Crypto profit plan: daily 15% returns. Limited entry. Pay to loanfee@upi now.,fraud,Investment Scam,82,high,English,guaranteed_returns|investment|too_good_to_be_true|payment_request|urgency,1,1,0,0,0,1,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
F0124,We have your private video. Pay ₹25000 to tradingprofit@upi or we will send it to your contacts.,fraud,Sextortion / Blackmail Scam,89,high,English,blackmail|threat|payment_request|urgency|fear_pressure,1,1,0,0,0,1,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
F0012,Digital arrest order active. Stay online and follow verification. Send ₹25000 to refundhelp@upi or legal action will start.,fraud,Digital Arrest Scam,98,high,English,law_enforcement_impersonation|digital_arrest|threat|payment_request|urgency,1,1,1,0,0,1,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
F0133,MSEDCL notice: last date expired. Call officer +91 9988776655 to avoid disconnection.,fraud,Electricity / Utility Scam,66,medium,English,utility_impersonation|service_disconnection|payment_request|phishing_link|urgency,1,1,1,0,0,0,1,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
F0062,"Loan approval pending. Upload Aadhaar, PAN and pay file charge at bank-secure-login.in.",fraud,Loan Scam,90,high,English,loan_offer|processing_fee|document_request|payment_request|too_good_to_be_true,1,0,0,1,1,0,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
